List,ListID,Content,ListNo,WordID,Sound1,Sound2,type,ExpAns
LNT,List 1,food,15,115,FAS_E1M-LNTW-01-15.wav,FAS_J1M-LNTW-01-15.wav,EJ,f
LNT,List 1,dance,16,116,FAS_E1M-LNTW-01-16.wav,FAS_J1M-LNTW-01-16.wav,EJ,f
LNT,List 1,live,17,117,FAS_E1M-LNTW-01-17.wav,FAS_J2M-LNTW-01-17.wav,EJ,f
LNT,List 1,stand,18,118,FAS_E1M-LNTW-01-18.wav,FAS_J2M-LNTW-01-18.wav,EJ,f
LNT,List 1,six,19,119,FAS_E1M-LNTW-01-19.wav,FAS_J2M-LNTW-01-19.wav,EJ,f
LNT,List 1,cold,20,120,FAS_E1M-LNTW-01-20.wav,FAS_J2M-LNTW-01-20.wav,EJ,f
LNT,List 1,push,21,121,FAS_E5M-LNTW-01-21.wav,FAS_J1M-LNTW-01-21.wav,EJ,f
LNT,List 1,stop,22,122,FAS_E5M-LNTW-01-22.wav,FAS_J1M-LNTW-01-22.wav,EJ,f
LNT,List 1,girl,23,123,FAS_E5M-LNTW-01-23.wav,FAS_J1M-LNTW-01-23.wav,EJ,f
PBK,List 3,room,5,124,FAS_E5M-PBKW-03-05.wav,FAS_J1M-PBKW-03-05.wav,EJ,f
LNT,List 1,cow,25,125,FAS_E5M-LNTW-01-25.wav,FAS_J2M-LNTW-01-25.wav,EJ,f
LNT,List 1,thumb,26,126,FAS_E5M-LNTW-01-26.wav,FAS_J2M-LNTW-01-26.wav,EJ,f
LNT,List 1,pie,27,127,FAS_E5M-LNTW-01-27.wav,FAS_J2M-LNTW-01-27.wav,EJ,f
LNT,List 1,wet,28,128,FAS_E5M-LNTW-01-28.wav,FAS_J2M-LNTW-01-28.wav,EJ,f
LNT,List 1,fight,29,129,FAS_E1M-LNTW-01-29.wav,FAS_K7M-LNTW-01-29.wav,EK,f
LNT,List 1,toe,30,130,FAS_E1M-LNTW-01-30.wav,FAS_K7M-LNTW-01-30.wav,EK,f
LNT,List 1,cut,31,131,FAS_E1M-LNTW-01-31.wav,FAS_K7M-LNTW-01-31.wav,EK,f
PBK,List 3,that,7,132,FAS_E1M-PBKW-03-07.wav,FAS_K7M-PBKW-03-07.wav,EK,f
LNT,List 1,hi,33,133,FAS_E1M-LNTW-01-33.wav,FAS_K9M-LNTW-01-33.wav,EK,f
LNT,List 1,song,34,134,FAS_E1M-LNTW-01-34.wav,FAS_K9M-LNTW-01-34.wav,EK,f
LNT,List 1,fun,35,135,FAS_E1M-LNTW-01-35.wav,FAS_K9M-LNTW-01-35.wav,EK,f
PBK,List 3,low,9,136,FAS_E1M-PBKW-03-09.wav,FAS_K9M-PBKW-03-09.wav,EK,f
LNT,List 1,mine,37,137,FAS_E5M-LNTW-01-37.wav,FAS_K7M-LNTW-01-37.wav,EK,f
LNT,List 1,ball,38,138,FAS_E5M-LNTW-01-38.wav,FAS_K7M-LNTW-01-38.wav,EK,f
LNT,List 1,kick,39,139,FAS_E5M-LNTW-01-39.wav,FAS_K7M-LNTW-01-39.wav,EK,f
LNT,List 1,tea,40,140,FAS_E5M-LNTW-01-40.wav,FAS_K7M-LNTW-01-40.wav,EK,f
LNT,List 1,book,41,141,FAS_E5M-LNTW-01-41.wav,FAS_K9M-LNTW-01-41.wav,EK,f
LNT,List 1,bone,42,142,FAS_E5M-LNTW-01-42.wav,FAS_K9M-LNTW-01-42.wav,EK,f
LNT,List 1,work,43,143,FAS_E5M-LNTW-01-43.wav,FAS_K9M-LNTW-01-43.wav,EK,f
LNT,List 1,dad,44,144,FAS_E5M-LNTW-01-44.wav,FAS_K9M-LNTW-01-44.wav,EK,f
LNT,List 1,game,45,145,FAS_M1M-LNTW-01-45.wav,FAS_J1M-LNTW-01-45.wav,MJ,f
LNT,List 1,lost,46,146,FAS_M1M-LNTW-01-46.wav,FAS_J1M-LNTW-01-46.wav,MJ,f
LNT,List 1,cook,47,147,FAS_M1M-LNTW-01-47.wav,FAS_J1M-LNTW-01-47.wav,MJ,f
LNT,List 1,gum,48,148,FAS_M1M-LNTW-01-48.wav,FAS_J1M-LNTW-01-48.wav,MJ,f
LNT,List 1,cap,49,149,FAS_M1M-LNTW-01-49.wav,FAS_J2M-LNTW-01-49.wav,MJ,f
LNT,List 1,meat,50,150,FAS_M1M-LNTW-01-50.wav,FAS_J2M-LNTW-01-50.wav,MJ,f
LNT,List 2,down,1,151,FAS_M1M-LNTW-02-01.wav,FAS_J2M-LNTW-02-01.wav,MJ,f
LNT,List 2,truck,2,152,FAS_M1M-LNTW-02-02.wav,FAS_J2M-LNTW-02-02.wav,MJ,f
LNT,List 2,mouth,3,153,FAS_M6M-LNTW-02-03.wav,FAS_J1M-LNTW-02-03.wav,MJ,f
LNT,List 2,pig,4,154,FAS_M6M-LNTW-02-04.wav,FAS_J1M-LNTW-02-04.wav,MJ,f
LNT,List 2,give,5,155,FAS_M6M-LNTW-02-05.wav,FAS_J1M-LNTW-02-05.wav,MJ,f
LNT,List 2,school,6,156,FAS_M6M-LNTW-02-06.wav,FAS_J1M-LNTW-02-06.wav,MJ,f
LNT,List 2,boy,7,157,FAS_M6M-LNTW-02-07.wav,FAS_J2M-LNTW-02-07.wav,MJ,f
LNT,List 2,put,8,158,FAS_M6M-LNTW-02-08.wav,FAS_J2M-LNTW-02-08.wav,MJ,f
LNT,List 2,three,9,159,FAS_M6M-LNTW-02-09.wav,FAS_J2M-LNTW-02-09.wav,MJ,f
LNT,List 2,farm,10,160,FAS_M6M-LNTW-02-10.wav,FAS_J2M-LNTW-02-10.wav,MJ,f
LNT,List 2,fish,11,161,FAS_M1M-LNTW-02-11.wav,FAS_K7M-LNTW-02-11.wav,MK,f
LNT,List 2,green,12,162,FAS_M1M-LNTW-02-12.wav,FAS_K7M-LNTW-02-12.wav,MK,f
LNT,List 2,catch,13,163,FAS_M1M-LNTW-02-13.wav,FAS_K7M-LNTW-02-13.wav,MK,f
LNT,List 2,break,14,164,FAS_M1M-LNTW-02-14.wav,FAS_K7M-LNTW-02-14.wav,MK,f
LNT,List 2,house,15,165,FAS_M1M-LNTW-02-15.wav,FAS_K9M-LNTW-02-15.wav,MK,f
LNT,List 2,sit,16,166,FAS_M1M-LNTW-02-16.wav,FAS_K9M-LNTW-02-16.wav,MK,f
LNT,List 2,friend,17,167,FAS_M1M-LNTW-02-17.wav,FAS_K9M-LNTW-02-17.wav,MK,f
LNT,List 2,jump,18,168,FAS_M1M-LNTW-02-18.wav,FAS_K9M-LNTW-02-18.wav,MK,f
LNT,List 2,bird,19,169,FAS_M6M-LNTW-02-19.wav,FAS_K7M-LNTW-02-19.wav,MK,f
LNT,List 2,swim,20,170,FAS_M6M-LNTW-02-20.wav,FAS_K7M-LNTW-02-20.wav,MK,f
LNT,List 2,hold,21,171,FAS_M6M-LNTW-02-21.wav,FAS_K7M-LNTW-02-21.wav,MK,f
LNT,List 2,want,22,172,FAS_M6M-LNTW-02-22.wav,FAS_K7M-LNTW-02-22.wav,MK,f
LNT,List 2,snake,23,173,FAS_M6M-LNTW-02-23.wav,FAS_K9M-LNTW-02-23.wav,MK,f
LNT,List 2,more,24,174,FAS_M6M-LNTW-02-24.wav,FAS_K9M-LNTW-02-24.wav,MK,f
LNT,List 2,white,25,175,FAS_M6M-LNTW-02-25.wav,FAS_K9M-LNTW-02-25.wav,MK,f
